1. What is the correlation between the number of workers and the number of reported storage issues in the last 3 months?,,,,,,,,,,,,,,,,,workers_num,storage_issue_reported_l3m
,,,,,,,,,,,,,,,,,29,13
,,,,,,,,,,,,,,,,,31,4
,-0.008509754,,,,,,,,,,,,,,,,37,17
,,,,,,,,,,,,,,,,,21,17
,,,,,,,,,,,,,,,,,25,18
,,,,,,,,,,,,,,,,,35,23
,,,,,,,,,,,,,,,,,27,24
,,,,,,,,,,,,,,,,,23,18
,,,,,,,,,,,,,,,,,22,13
,,,,,,,,,,,,,,,,,43,6
,,,,,,,,,,,,,,,,,37,17
,,,,,,,,,,,,,,,,,16,11
,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,36,22
,,,,,,,,,,,,,,,,,37,6
,,,,,,,,,,,,,,,,,19,4
,,,,,,,,,,,,,,,,,28,9
,,,,,,,,,,,,,,,,,22,13
,,,,,,,,,,,,,,,,,22,29
,,,,,,,,,,,,,,,,,24,22
,,,,,,,,,,,,,,,,,41,19
,,,,,,,,,,,,,,,,,31,14
,,,,,,,,,,,,,,,,,24,28
,,,,,,,,,,,,,,,,,37,25
,,,,,,,,,,,,,,,,,31,12
,,,,,,,,,,,,,,,,,31,22
,,,,,,,,,,,,,,,,,21,8
,,,,,,,,,,,,,,,,,36,11
,,,,,,,,,,,,,,,,,20,0
,,,,,,,,,,,,,,,,,24,6
,,,,,,,,,,,,,,,,,17,12
,,,,,,,,,,,,,,,,,19,18
,,,,,,,,,,,,,,,,,29,34
,,,,,,,,,,,,,,,,,24,14
,,,,,,,,,,,,,,,,,46,16
,,,,,,,,,,,,,,,,,30,0
,,,,,,,,,,,,,,,,,24,34
,,,,,,,,,,,,,,,,,29,17
,,,,,,,,,,,,,,,,,33,0
,,,,,,,,,,,,,,,,,43,38
,,,,,,,,,,,,,,,,,32,23
,,,,,,,,,,,,,,,,,29,25
,,,,,,,,,,,,,,,,,26,16
,,,,,,,,,,,,,,,,,28,25
,,,,,,,,,,,,,,,,,20,22
,,,,,,,,,,,,,,,,,38,21
,,,,,,,,,,,,,,,,,30,15
,,,,,,,,,,,,,,,,,39,36
,,,,,,,,,,,,,,,,,40,9
,,,,,,,,,,,,,,,,,26,31
,,,,,,,,,,,,,,,,,23,6
,,,,,,,,,,,,,,,,,23,20
,,,,,,,,,,,,,,,,,31,16
,,,,,,,,,,,,,,,,,19,18
,,,,,,,,,,,,,,,,,27,18
,,,,,,,,,,,,,,,,,24,14
,,,,,,,,,,,,,,,,,20,9
,,,,,,,,,,,,,,,,,39,17
,,,,,,,,,,,,,,,,,27,25
,,,,,,,,,,,,,,,,,34,21
,,,,,,,,,,,,,,,,,17,23
,,,,,,,,,,,,,,,,,30,31
,,,,,,,,,,,,,,,,,29,10
,,,,,,,,,,,,,,,,,26,20
,,,,,,,,,,,,,,,,,16,22
,,,,,,,,,,,,,,,,,32,25
,,,,,,,,,,,,,,,,,22,32
,,,,,,,,,,,,,,,,,25,22
,,,,,,,,,,,,,,,,,19,27
,,,,,,,,,,,,,,,,,35,9
,,,,,,,,,,,,,,,,,44,17
,,,,,,,,,,,,,,,,,38,16
,,,,,,,,,,,,,,,,,29,14
,,,,,,,,,,,,,,,,,22,22
,,,,,,,,,,,,,,,,,29,13
,,,,,,,,,,,,,,,,,28,16
,,,,,,,,,,,,,,,,,38,14
,,,,,,,,,,,,,,,,,37,26
,,,,,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,,,,,18,6
,,,,,,,,,,,,,,,,,25,18
,,,,,,,,,,,,,,,,,11,14
,,,,,,,,,,,,,,,,,21,18
,,,,,,,,,,,,,,,,,34,26
,,,,,,,,,,,,,,,,,32,13
,,,,,,,,,,,,,,,,,31,18
,,,,,,,,,,,,,,,,,37,28
,,,,,,,,,,,,,,,,,33,14
,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,43,6
,,,,,,,,,,,,,,,,,26,14
,,,,,,,,,,,,,,,,,28,23
,,,,,,,,,,,,,,,,,25,24
